# hand rank, percentage chance of win, percentage chance of draw
AA , 31.0, 0.5
KK , 26.0, 0.6
QQ , 22.0, 0.8
AKs, 20.2, 1.9
JJ , 19.1, 0.9
AQs, 18.7, 2.2
KQs, 18.1, 2.1
AJs, 17.5, 2.5
KJs, 17.1, 2.4
TT , 16.8, 1.1
AKo, 16.7, 2.0
ATs, 16.6, 2.7
QJs, 16.6, 2.4
KTs, 16.1, 2.6
QTs, 15.8, 2.6
JTs, 15.8, 2.8
99 , 15.3, 0.9
AQo, 14.9, 2.3
A9s, 14.6, 2.7
KQo, 14.4, 2.2
88 , 14.2, 0.9
K9s, 14.2, 2.5
T9s, 14.1, 2.7
A8s, 13.9, 2.9
Q9s, 13.8, 2.4
J9s, 13.8, 2.5
AJo, 13.5, 2.6
A5s, 13.4, 3.3
77 , 13.4, 0.9
A7s, 13.4, 3.0
KJo, 13.2, 2.5
A4s, 13.2, 3.1
A3s, 13.1, 2.9
A6s, 13.0, 3.1
QJo, 12.9, 2.5
66 , 12.8, 0.9
K8s, 12.8, 2.6
T8s, 12.7, 2.7
A2s, 12.7, 2.6
98s, 12.6, 2.4
J8s, 12.5, 2.5
ATo, 12.4, 2.8
Q8s, 12.4, 2.5
K7s, 12.2, 2.7
KTo, 12.2, 2.8
55 , 12.2, 0.9
JTo, 12.1, 2.8
87s, 12.0, 2.3
QTo, 12.0, 2.8
44 , 11.9, 0.7
22 , 11.9, 0.3
33 , 11.9, 0.5
K6s, 11.8, 2.8
97s, 11.7, 2.4
K5s, 11.6, 2.9
76s, 11.5, 2.3
T7s, 11.5, 2.7
K4s, 11.4, 2.7
K2s, 11.3, 2.3
K3s, 11.3, 2.5
Q7s, 11.2, 2.6
86s, 11.2, 2.3
65s, 11.1, 2.2
J7s, 11.1, 2.6
54s, 10.9, 2.2
Q6s, 10.9, 2.7
75s, 10.7, 2.3
96s, 10.7, 2.4
Q5s, 10.6, 2.8
64s, 10.4, 2.0
Q4s, 10.4, 2.5
Q3s, 10.4, 2.4
T9o, 10.4, 2.8
T6s, 10.3, 2.7
Q2s, 10.3, 2.1
A9o, 10.2, 2.8
53s, 10.2, 2.0
85s, 10.1, 2.3
J6s, 10.1, 2.7
J9o, 10.0, 2.6
K9o, 9.9, 2.6
J5s, 9.9, 2.8
Q9o, 9.8, 2.6
43s, 9.8, 1.8
74s, 9.7, 2.1
J4s, 9.7, 2.6
J3s, 9.6, 2.4
95s, 9.6, 2.4
J2s, 9.5, 2.2
63s, 9.5, 1.8
A8o, 9.4, 3.0
52s, 9.3, 1.8
T5s, 9.2, 2.9
84s, 9.1, 2.1
T4s, 9.1, 2.7
T3s, 9.1, 2.4
42s, 9.0, 1.6
T2s, 9.0, 2.2
98o, 9.0, 2.4
T8o, 8.9, 2.8
A5o, 8.9, 3.4
A7o, 8.8, 3.2
73s, 8.8, 1.9
A4o, 8.7, 3.2
32s, 8.7, 1.3
94s, 8.7, 2.3
93s, 8.5, 2.1
J8o, 8.5, 2.7
A3o, 8.5, 3.0
62s, 8.5, 1.6
92s, 8.5, 1.9
K8o, 8.5, 2.8
A6o, 8.4, 3.2
87o, 8.4, 2.4
Q8o, 8.3, 2.7
83s, 8.2, 2.0
A2o, 8.2, 2.7
82s, 8.1, 1.8
97o, 8.0, 2.5
72s, 7.9, 1.8
76o, 7.9, 2.4
K7o, 7.9, 2.9
65o, 7.6, 2.4
T7o, 7.5, 2.8
K6o, 7.5, 3.0
86o, 7.4, 2.4
54o, 7.4, 2.3
K5o, 7.1, 3.0
J7o, 7.1, 2.8
75o, 7.0, 2.4
Q7o, 7.0, 2.8
K4o, 7.0, 2.8
K3o, 6.9, 2.6
96o, 6.8, 2.5
K2o, 6.8, 2.4
64o, 6.8, 2.1
Q6o, 6.6, 2.9
53o, 6.6, 2.1
85o, 6.3, 2.5
T6o, 6.3, 2.9
Q5o, 6.3, 2.9
43o, 6.2, 1.8
Q4o, 6.1, 2.7
Q3o, 6.1, 2.5
74o, 6.0, 2.2
Q2o, 6.0, 2.3
J6o, 5.9, 2.9
63o, 5.7, 1.9
J5o, 5.6, 2.9
95o, 5.6, 2.6
52o, 5.6, 1.9
J4o, 5.5, 2.7
J3o, 5.4, 2.5
42o, 5.4, 1.6
J2o, 5.3, 2.3
84o, 5.3, 2.3
T5o, 5.2, 3.0
T4o, 5.0, 2.8
32o, 5.0, 1.4
T3o, 5.0, 2.6
73o, 4.9, 2.0
T2o, 4.9, 2.3
62o, 4.7, 1.7
94o, 4.7, 2.4
93o, 4.5, 2.2
92o, 4.5, 2.0
83o, 4.3, 2.1
82o, 4.2, 1.9
72o, 4.0, 1.9